strace: Process 2304840 attached
restart_syscall(<... resuming interrupted io_setup ...>) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168601, tv_nsec=339232312}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168601, tv_nsec=440212812}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168601, tv_nsec=541226813}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168601, tv_nsec=642424106}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168601, tv_nsec=742812440}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168601, tv_nsec=843527066}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168601, tv_nsec=944785566}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168602, tv_nsec=45089984}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168602, tv_nsec=145356901}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168602, tv_nsec=247196194}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168602, tv_nsec=347771236}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168602, tv_nsec=449009862}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168602, tv_nsec=550570030}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168602, tv_nsec=652493197}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168602, tv_nsec=753134698}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168602, tv_nsec=853541865}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168602, tv_nsec=953987116}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168603, tv_nsec=55137909}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168603, tv_nsec=155537618}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168603, tv_nsec=257031827}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168603, tv_nsec=360451828}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168603, tv_nsec=462722162}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168603, tv_nsec=563263288}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168603, tv_nsec=665061538}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168603, tv_nsec=765470331}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168603, tv_nsec=866391123}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168603, tv_nsec=968123124}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168604, tv_nsec=69449625}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168604, tv_nsec=169936084}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168604, tv_nsec=271517543}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168604, tv_nsec=373017586}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168604, tv_nsec=474249670}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168604, tv_nsec=576542254}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168604, tv_nsec=676981463}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168604, tv_nsec=777482922}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168604, tv_nsec=880195548}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168604, tv_nsec=980961382}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168605, tv_nsec=82471383}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168605, tv_nsec=184114925}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168605, tv_nsec=286344384}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168605, tv_nsec=387487218}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168605, tv_nsec=489653219}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168605, tv_nsec=590788636}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168605, tv_nsec=692340179}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168605, tv_nsec=794531305}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168605, tv_nsec=897312972}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168606, tv_nsec=1142723}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
futex(0x24e7e760, FUTEX_WAIT_BITSET_PRIVATE, 0, {tv_sec=168606, tv_nsec=102012432}, FUTEX_BITSET_MATCH_ANY) = -1 ETIMEDOUT (Connection timed out)
